2018-11-17 02:16:04.707 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2-6
2018-11-17 02:16:04.708 INFO  com.hcq.socket.client.Client - -4
2018-11-17 02:16:04.708 INFO  com.hcq.socket.client.Client - 表达式为 ：8-8
2018-11-17 02:16:04.710 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8-8
2018-11-17 02:16:04.710 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.711 INFO  com.hcq.socket.client.Client - 表达式为 ：8*10
2018-11-17 02:16:04.714 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8*10
2018-11-17 02:16:04.716 INFO  com.hcq.socket.client.Client - 2744
2018-11-17 02:16:04.734 INFO  com.hcq.socket.client.Client - 表达式为 ：4-7
2018-11-17 02:16:04.735 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息4-7
2018-11-17 02:16:04.736 INFO  com.hcq.socket.client.Client - -3
2018-11-17 02:16:04.736 INFO  com.hcq.socket.client.Client - 表达式为 ：7+5
2018-11-17 02:16:04.737 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7+5
2018-11-17 02:16:04.737 INFO  com.hcq.socket.client.Client - 108
2018-11-17 02:16:04.737 INFO  com.hcq.socket.client.Client - 表达式为 ：0-7
2018-11-17 02:16:04.739 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0-7
2018-11-17 02:16:04.739 INFO  com.hcq.socket.client.Client - -7
2018-11-17 02:16:04.739 INFO  com.hcq.socket.client.Client - 表达式为 ：9+1
2018-11-17 02:16:04.740 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9+1
2018-11-17 02:16:04.740 INFO  com.hcq.socket.client.Client - 106
2018-11-17 02:16:04.740 INFO  com.hcq.socket.client.Client - 表达式为 ：8+3
2018-11-17 02:16:04.741 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8+3
2018-11-17 02:16:04.741 INFO  com.hcq.socket.client.Client - 107
2018-11-17 02:16:04.742 INFO  com.hcq.socket.client.Client - 表达式为 ：9/9
2018-11-17 02:16:04.743 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9/9
2018-11-17 02:16:04.743 INFO  com.hcq.socket.client.Client - 1
